cct_dcc_id,cct_ltr
33,3180.8000000000015
34,2274.5
35,34703.9
36,178.2
37,482.3
39,6445.699999999988
45,47.0
49,6745.699999999993
51,10.4
59,678.2000000000002
60,200.99999999999997
61,4.8
62,1468.1999999999998
63,1.0
65,39.5
66,777.5999999999999
68,99.9
69,807.3000000000003
70,7.0
72,14691.200000000015
74,19.7
75,38.2
77,13834.5
78,453.0
79,24204.60000000002
81,9677.500000000031
84,6.8
85,3303.5000000000005
87,2531.7999999999997
89,2856.2999999999984
92,10086.799999999994
93,20098.8
94,13634.099999999993
97,98.5
98,5041.7999999999965
101,13.2
103,3707.8000000000015
104,659.1999999999999
107,84.10000000000002
117,5.0
120,115.0
124,189.79999999999998
127,188.0
133,401.0
148,14.0
153,164.8
162,12.0
163,13.0
168,743.0
183,87.0
185,114.60000000000001
194,31.799999999999997
199,5.0
202,1.0
204,46.199999999999996
206,37.0
207,22.0
209,13.0
213,2.0
214,11.0
216,1308.300000000001
217,15140.800000000007
220,1.6
232,16.0
233,2248.499999999999
237,12.2
239,4.4
244,20.0
247,5.4
250,15.0
251,11.0
253,8.9
257,2.7
260,10.0
262,1844.8000000000002
267,151.0
268,48.400000000000006
270,27.6
273,5.5
280,1534.9999999999998
283,41.9
287,27.3
288,8.0
289,736.2
290,18.4
293,5.4
299,4.5
300,1.0
303,12.2
304,97.0
305,5.7
307,17.5
308,753.6
309,6.3
310,0.9
313,1.0
314,10.0
316,31.5
317,5.5
318,845.0000000000001
322,33.4
328,138.59999999999997
332,10.0
336,5.0
337,19.2
340,8.1
342,9.1
344,15.0
347,36.3
348,6.5
349,516.9999999999998
350,16.5
352,2.5
354,139.0
355,3.2
363,52.0
364,2.7
366,12.0
373,18.0
374,82.0
375,4.0
377,9.7
378,765.0
379,7.0
388,465.09999999999997
400,259.2
401,21.0
406,1598.0
407,5120.200000000001
411,60.0
412,2418.9
424,10.0
430,1639.299999999999
431,15417.10000000002
439,3.0
442,29.5
443,6356.700000000003
444,242.0
447,1851.8000000000002
457,59.4
467,558.2
469,1.0
470,5.0
472,2511.100000000001
481,20.0
483,74620.29999999999
484,15714.800000000017
485,259.7999999999999
491,48.2
494,100.0
498,15.0
506,12.0
510,10.0
511,1858.5000000000002
515,2.0
516,2.0
524,1.0
526,15.0
531,34.5
545,186.50000000000003
549,1833.3000000000004
566,10.2
567,1297.4999999999998
573,1.0
574,45.0
577,205.0
580,1338.7000000000007
583,37.4
586,15.0
587,40.7
591,27.7
599,348.5
603,39.0
604,76.19999999999999
606,110.0
608,35.0
611,1665.5000000000005
612,60.0
623,4.0
624,1.0
625,58.50000000000001
628,71.0
633,20.0
638,2.0
639,26.5
641,10.0
642,10.0
643,621.5
647,12.0
654,122.30000000000001
658,19.6
666,13.6
669,1.0
678,10.0
680,51.8
686,4.4
690,8.8
691,20.0
692,784.0
