Month,JIO,V,I,BR,A,B,DD,TD,VD,AD,SD
1,1422181,867204,1383137,199546,1421481,40838,44308,138894,124521,49731,7545
2,1679579,830850,1332322,197748,1546993,38964,20895,139425,95431,52873,11770
3,1584524,787209,1174840,198931,1311878,35253,49197,165955,82546,65135,8542
4,890616,456187,742178,106619,831453,14289,15721,106536,62269,25422,17725
5,1034812,470531,862320,183709,1130105,24415,22555,151679,71099,35911,12012
6,1043792,576471,1066705,189436,1126525,25298,24456,154604,73164,29717,14289
7,1123295,724295,927579,173883,1117697,28023,24991,227127,77666,57453,13913
8,1207552,1818400,0,206660,1262761,23348,31831,290742,88226.6,51280,12821
9,1246211,1691802,0,273247,1432476,35239,38856,202370,105937.2,54509,25446
10,1443951,1674241,249236,278117,1632381,34334,38016,206838,108509.5,55755,26848
11,1575518,0,1889623,262575,1692470,39834,36482,225982,117099,73200,35275
12,1646613,0,2214815,276168,1744475,29722,53942,238792,123989,76826,58005
